id,name,parent_id,level,description,image,meta_data,slug
1211220,Others,12112,3,0,0,0,0
12113,Decoration,121,2,0,0,0,0
1211310,Flowers,12113,3,0,0,0,0
1211311,Furniture & Appliance Covers,12113,3,0,0,0,0
1211312,Curtains & Blinds,12113,3,0,0,0,0
1211313,Photo Frames & Wall Decoration,12113,3,0,0,0,0
1211314,Wallpapers & Wall Stickers,12113,3,0,0,0,0
1211315,Clocks,12113,3,0,0,0,0
1211316,Floor Mats,12113,3,0,0,0,0
1211317,Carpets & Rugs,12113,3,0,0,0,0
1211318,Vases & Vessels,12113,3,0,0,0,0
1211319,Candles & Candleholders,12113,3,0,0,0,0
1211320,Mirrors,12113,3,0,0,0,0
1211321,Table Cloths,12113,3,0,0,0,0
1211322,Others,12113,3,0,0,0,0
12114,"Hand Warmers, Hot Water Bags & Ice Bags",121,2,0,0,0,0
12115,Furniture,121,2,0,0,0,0
1211510,Cushions,12115,3,0,0,0,0
1211511,Doorstoppers,12115,3,0,0,0,0
1211512,Bed Frames & Headboards,12115,3,0,0,0,0
1211513,Desks & Tables,12115,3,0,0,0,0
1211514,Wardrobes,12115,3,0,0,0,0
1211515,"Benches, Chairs & Stools",12115,3,0,0,0,0
1211516,Sofas,12115,3,0,0,0,0
1211517,Cupboards & Cabinets,12115,3,0,0,0,0
1211518,Shelves & Racks,12115,3,0,0,0,0
12116,Gardening,121,2,0,0,0,0
1211610,Plants,12116,3,0,0,0,0
1211611,Garden Decorations,12116,3,0,0,0,0
1211612,Garden Soils & Growing Media,12116,3,0,0,0,0
1211613,Fertilizer,12116,3,0,0,0,0
1211614,Seeds & Bulbs,12116,3,0,0,0,0
1211615,Pots & Planters,12116,3,0,0,0,0
1211616,Irrigation Systems,12116,3,0,0,0,0
1211617,Gardening Tools,12116,3,0,0,0,0
1211618,Lawn Mowers,12116,3,0,0,0,0
1211619,Others,12116,3,0,0,0,0
12117,Tools,121,2,0,0,0,0
1211710,Tool Boxes,12117,3,0,0,0,0
1211711,Measuring Tapes,12117,3,0,0,0,0
1211712,Spanner Sets,12117,3,0,0,0,0
1211713,Hammers,12117,3,0,0,0,0
1211714,Pliers,12117,3,0,0,0,0
1211715,"Nails, Screws & Fasteners",12117,3,0,0,0,0
1211716,"Drills, Screwdrivers & Accessories",12117,3,0,0,0,0
1211717,"Saws, Cut-off Machines & Grinders",12117,3,0,0,0,0
1211718,Pressure Washers,12117,3,0,0,0,0
1211719,Electrical Testers & Multimeters,12117,3,0,0,0,0
1211720,Levels & Measuring Wheels,12117,3,0,0,0,0
1211721,Rangefinders,12117,3,0,0,0,0
1211722,Air Compressors,12117,3,0,0,0,0
1211723,"Sandpaper, Power Sanders & Accessories",12117,3,0,0,0,0
1211724,Power Welding Tools,12117,3,0,0,0,0
1211725,Blowers,12117,3,0,0,0,0
1211726,Others,12117,3,0,0,0,0
12118,Home Improvement,121,2,0,0,0,0
1211810,Industrial Adhesives & Tapes,12118,3,0,0,0,0
1211811,"Protective Gloves, Goggles & Masks",12118,3,0,0,0,0
1211812,Sinks & Water Taps,12118,3,0,0,0,0
1211813,Roofing & Flooring,12118,3,0,0,0,0
1211814,Wall Paints & Coatings,12118,3,0,0,0,0
1211815,"	
Water Pumps, Parts & Accessories",12118,3,0,0,0,0
1211816,"Air Pumps, Parts & Accessories",12118,3,0,0,0,0
1211817,Ladders,12118,3,0,0,0,0
1211818,Trollies,12118,3,0,0,0,0
1211819,"Shades, Awnings & Tarpaulins",12118,3,0,0,0,0
1211820,Construction Materials,12118,3,0,0,0,0
1211821,Doors & Windows,12118,3,0,0,0,0
1211822,Others,12118,3,0,0,0,0
12119,Home Care Supplies,121,2,0,0,0,0
1211910,Clotheslines & Drying Racks,12119,3,0,0,0,0
1211911,Cleaning Brushes,12119,3,0,0,0,0
1211912,Brooms,12119,3,0,0,0,0
1211913,Dusters,12119,3,0,0,0,0
1211914,Mops,12119,3,0,0,0,0
1211915,"Basins, Buckets & Water Dippers",12119,3,0,0,0,0
1211916,Sponges & Scouring Pads,12119,3,0,0,0,0
1211917,Trash & Recycling Bins,12119,3,0,0,0,0
1211918,Plastic Bags & Trash Bags,12119,3,0,0,0,0
1211919,Cleaning Cloths,12119,3,0,0,0,0
1211920,Pest & Weed Control,12119,3,0,0,0,0
